real,RF,word2,season,No
0,0,2016_Jan_27_8,1,246
0,0,2016_Jan_21_13,1,185
0,0,2016_Jan_19_6,1,167
1,1,2016_Jan_26_0,1,226
0,0,2016_Jan_15_0,1,141
0,0,2016_Jan_6_7,1,82
0,0,2016_Feb_9_3,1,42
0,0,2016_Jan_5_3,1,70
0,0,2016_Jan_22_13,1,199
0,0,2016_Feb_10_3,1,52
0,0,2016_Jan_11_12,1,104
0,0,2016_Jan_22_5,1,205
0,0,2016_Jan_8_4,1,96
0,0,2016_Jan_23_1,1,211
0,0,2016_Jan_21_12,1,184
0,0,2016_Feb_9_13,1,39
0,0,2016_Jan_22_4,1,204
0,0,2016_Jan_20_5,1,176
0,0,2016_Feb_1_1,1,1
0,0,2016_Jan_22_10,1,196
0,0,2016_Feb_3_4,1,16
0,0,2016_Jan_12_4,1,119
0,0,2016_Jan_9_2,1,99
0,0,2016_Jan_18_0,1,160
0,0,2016_Jan_6_6,1,81
0,0,2016_Jan_14_5,1,137
0,0,2016_Feb_9_2,1,41
0,0,2016_Jan_26_5,1,231
0,1,2016_Jan_6_2,1,77
0,0,2016_Jan_21_3,1,188
0,0,2016_Jan_5_5,1,72
0,0,2016_Feb_7_1,1,26
0,0,2016_Jan_22_12,1,198
0,0,2016_Jan_22_7,1,207
0,0,2016_Jan_25_2,1,219
0,0,2016_Jan_16_0,1,147
0,0,2016_Jan_7_2,1,85
0,0,2016_Jan_12_3,1,118
0,0,2016_Jan_11_0,1,101
0,0,2016_Feb_3_2,1,14
0,0,2016_Jan_27_5,1,243
0,0,2016_Feb_10_5,1,54
0,0,2016_Jan_22_6,1,206
0,0,2016_Feb_2_1,1,11
0,0,2016_Jan_16_6,1,153
0,0,2016_Feb_7_3,1,28
0,0,2016_Jan_27_9,1,247
0,0,2016_Mar_6_1,2,120
0,0,2016_Mar_22_12,2,219
0,0,2016_Mar_12_0,2,152
0,0,2016_Apr_5_6,2,34
0,0,2016_Apr_4_2,2,21
0,0,2016_Mar_3_5,2,106
0,0,2016_Apr_7_4,2,48
0,0,2016_Mar_11_1,2,150
0,0,2016_Feb_26_3,2,55
0,0,2016_Mar_24_2,2,246
0,0,2016_Mar_13_7,2,163
0,0,2016_Apr_4_17,2,18
0,0,2016_Mar_28_7,2,267
0,0,2016_Mar_21_8,2,214
0,0,2016_Mar_23_8,2,243
0,0,2016_Mar_28_2,2,263
0,0,2016_Mar_29_1,2,269
0,0,2016_Mar_8_6,2,135
0,0,2016_Apr_4_9,2,27
0,0,2016_Apr_7_6,2,50
0,0,2016_Mar_4_0,2,111
0,0,2016_Mar_24_8,2,252
0,1,2016_Mar_2_5,2,94
0,1,2016_Mar_25_4,2,256
0,0,2016_Mar_22_3,2,225
0,0,2016_Mar_7_0,2,122
0,0,2016_Feb_29_0,2,66
0,0,2016_Mar_2_2,2,91
0,0,2016_Apr_5_4,2,32
0,0,2016_Apr_2_4,2,6
0,0,2016_Mar_12_1,2,153
0,0,2016_Apr_4_13,2,16
0,0,2016_Mar_8_1,2,131
0,0,2016_Mar_1_15,2,77
0,0,2016_Mar_8_2,2,132
0,0,2016_Apr_4_7,2,25
0,0,2016_Mar_1_3,2,83
0,0,2016_Mar_16_10,2,174
0,0,2016_Feb_28_2,2,60
0,0,2016_Apr_4_11,2,14
0,0,2016_Mar_1_10,2,72
0,0,2016_Mar_28_0,2,262
0,0,2016_Mar_21_1,2,207
0,0,2016_Mar_3_12,2,100
0,0,2016_Mar_23_2,2,238
0,0,2016_Apr_5_5,2,33
0,0,2016_Mar_31_10,2,271
0,0,2016_Mar_19_2,2,201
0,1,2016_Apr_2_0,2,3
0,0,2016_Apr_7_3,2,47
0,0,2016_Mar_16_1,2,176
0,0,2016_May_3_0,3,92
0,0,2016_May_23_6,3,305
0,0,2016_May_1_0,3,68
0,0,2016_May_20_3,3,280
0,0,2016_May_2_20,3,81
0,0,2016_May_3_10,3,93
0,0,2016_Apr_26_3,3,32
0,0,2016_May_9_16,3,152
0,0,2016_Apr_27_3,3,42
0,0,2016_May_21_1,3,283
0,0,2016_May_16_12,3,219
0,0,2016_May_2_13,3,73
0,0,2016_May_19_3,3,271
0,0,2016_May_8_0,3,141
0,0,2016_May_13_0,3,199
0,0,2016_May_16_21,3,229
0,0,2016_May_16_5,3,233
0,0,2016_May_3_3,3,102
0,0,2016_May_11_6,3,185
0,0,2016_May_2_10,3,70
0,0,2016_May_24_4,3,313
0,0,2016_May_18_9,3,260
0,0,2016_May_2_19,3,79
0,0,2016_May_9_7,3,166
0,0,2016_May_15_1,3,211
0,0,2016_May_9_20,3,157
1,1,2016_May_9_13,3,149
0,0,2016_May_30_5,3,367
0,0,2016_May_31_3,3,379
0,0,2016_May_16_18,3,225
0,0,2016_May_20_1,3,279
0,0,2016_May_24_5,3,314
0,0,2016_Apr_22_5,3,6
0,0,2016_May_19_12,3,264
0,0,2016_May_31_4,3,380
0,0,2016_May_10_1,3,170
0,1,2016_May_3_14,3,97
0,0,2016_May_18_6,3,257
0,0,2016_May_12_6,3,195
0,0,2016_May_31_7,3,383
0,0,2016_May_26_8,3,343
0,0,2016_May_31_13,3,372
0,0,2016_May_27_0,3,345
0,0,2016_May_4_9,3,125
0,0,2016_May_18_8,3,259
0,0,2016_May_9_4,3,163
0,0,2016_May_29_3,3,357
0,0,2016_May_12_10,3,187
0,0,2016_May_17_3,3,244
0,0,2016_May_10_3,3,172
0,0,2016_May_9_23,3,160
0,0,2016_May_31_12,3,371
0,0,2016_Apr_25_2,3,22
0,0,2016_May_15_4,3,214
0,0,2016_May_12_5,3,194
0,0,2016_May_22_1,3,287
0,0,2016_Jun_1_5,3,63
0,0,2016_May_29_0,3,354
0,0,2016_May_11_1,3,180
0,0,2016_May_9_10,3,146
0,0,2016_May_2_6,3,88
0,0,2016_May_3_2,3,101
0,0,2016_May_31_16,3,375
0,0,2016_May_12_4,3,193
0,0,2016_May_9_14,3,150
0,0,2016_May_2_8,3,90
0,0,2016_May_4_8,3,124
0,0,2016_May_25_6,3,329
0,0,2016_Jun_23_2,4,372
0,1,2016_Jul_20_10,4,202
0,0,2016_Jul_24_4,4,266
0,0,2016_Jul_11_3,4,92
0,0,2016_Jul_13_2,4,115
0,1,2016_Jun_25_4,4,383
0,0,2016_Jul_18_9,4,168
0,0,2016_Jul_25_16,4,277
0,0,2016_Jul_18_20,4,160
0,0,2016_Jun_17_4,4,321
0,0,2016_Jul_23_4,4,256
0,0,2016_Jun_25_6,4,385
0,0,2016_Jul_25_13,4,274
0,0,2016_Jun_20_3,4,338
0,0,2016_Jul_14_0,4,119
0,0,2016_Jul_16_0,4,139
0,0,2016_Jul_5_7,4,21
0,0,2016_Jul_8_6,4,57
0,0,2016_Jun_22_1,4,361
0,0,2016_Jul_27_6,4,303
0,0,2016_Jun_30_7,4,435
0,0,2016_Jul_27_5,4,302
0,0,2016_Jul_8_1,4,52
0,0,2016_Jul_23_2,4,254
0,0,2016_Jul_9_8,4,68
0,0,2016_Jun_30_0,4,427
0,0,2016_Jun_30_10,4,428
0,0,2016_Jul_23_5,4,257
0,0,2016_Jun_27_11,4,393
0,1,2016_Jun_22_6,4,366
0,0,2016_Jul_6_8,4,44
0,0,2016_Jul_21_7,4,230
0,0,2016_Jul_14_3,4,122
0,0,2016_Jul_15_3,4,132
0,0,2016_Jul_9_2,4,62
0,0,2016_Jul_25_11,4,272
0,0,2016_Jul_6_10,4,25
0,0,2016_Jul_21_0,4,216
0,0,2016_Jul_18_4,4,163
0,0,2016_Jul_5_6,4,20
0,0,2016_Jun_24_0,4,376
0,0,2016_Jun_30_2,4,430
0,2,2016_Jul_25_12,4,273
0,0,2016_Jul_20_14,4,206
0,0,2016_Jun_22_10,4,359
0,0,2016_Jul_18_16,4,155
1,1,2016_Jul_20_5,4,211
0,0,2016_Jul_12_10,4,100
0,0,2016_Jul_5_3,4,17
0,0,2016_Jul_19_4,4,195
0,0,2016_Jul_9_4,4,64
0,0,2016_Jul_9_1,4,61
0,0,2016_Jun_19_5,4,332
0,0,2016_Jul_19_2,4,190
0,0,2016_Jul_28_6,4,313
0,0,2016_Jun_30_5,4,433
0,0,2016_Jun_22_3,4,363
0,0,2016_Jun_22_9,4,369
0,0,2016_Jul_6_11,4,26
0,0,2016_Jul_25_7,4,288
0,0,2016_Jul_10_3,4,72
0,0,2016_Jul_15_8,4,137
0,0,2016_Jul_19_14,4,173
0,0,2016_Jun_21_5,4,353
0,0,2016_Jun_17_1,4,318
0,0,2016_Jul_11_10,4,74
0,0,2016_Jul_11_2,4,91
0,0,2016_Jun_27_5,4,400
0,0,2016_Jul_25_1,4,281
0,0,2016_Jun_27_4,4,399
0,0,2016_Jun_17_0,4,317
0,0,2016_Jun_20_5,4,340
0,0,2016_Jul_7_0,4,46
0,0,2016_Jul_18_10,4,149
0,0,2016_Aug_31_2,5,219
0,0,2016_Aug_15_15,5,38
1,1,2016_Sep_9_1,5,317
0,1,2016_Aug_27_3,5,171
0,0,2016_Aug_16_3,5,57
0,0,2016_Sep_8_8,5,314
0,0,2016_Aug_15_5,5,44
0,0,2016_Aug_30_0,5,209
0,0,2016_Aug_22_20,5,111
0,0,2016_Aug_24_3,5,144
0,0,2016_Aug_27_6,5,174
0,0,2016_Aug_29_28,5,200
0,0,2016_Sep_17_0,5,355
1,1,2016_Aug_12_0,5,0
0,0,2016_Aug_31_0,5,217
0,0,2016_Sep_9_3,5,319
0,0,2016_Sep_17_2,5,357
0,0,2016_Aug_13_0,5,13
0,0,2016_Aug_19_5,5,89
0,0,2016_Aug_27_1,5,169
0,0,2016_Aug_16_1,5,55
0,0,2016_Sep_8_14,5,301
0,0,2016_Sep_20_0,5,388
0,0,2016_Aug_26_7,5,167
0,0,2016_Aug_25_7,5,158
0,0,2016_Aug_30_2,5,211
0,0,2016_Sep_6_1,5,273
0,0,2016_Sep_19_16,5,371
0,2,2016_Aug_27_4,5,172
0,0,2016_Sep_19_1,5,375
0,0,2016_Aug_15_14,5,37
0,0,2016_Aug_30_7,5,216
0,0,2016_Sep_22_4,5,416
0,0,2016_Aug_28_3,5,178
0,0,2016_Aug_26_2,5,162
0,0,2016_Aug_27_5,5,173
0,0,2016_Sep_9_0,5,316
0,0,2016_Aug_20_1,5,93
0,0,2016_Sep_21_5,5,410
0,0,2016_Sep_22_0,5,412
0,0,2016_Sep_10_4,5,326
0,0,2016_Sep_6_14,5,267
0,0,2016_Sep_7_7,5,293
0,0,2016_Aug_29_15,5,186
0,0,2016_Aug_15_9,5,48
0,0,2016_Aug_22_19,5,109
0,0,2016_Sep_12_10,5,332
0,1,2016_Sep_5_1,5,260
1,1,2016_Sep_19_14,5,369
0,0,2016_Aug_24_6,5,147
0,0,2016_Aug_17_3,5,69
0,1,2016_Aug_14_7,5,29
0,0,2016_Aug_29_10,5,181
0,0,2016_Aug_13_5,5,18
0,0,2016_Aug_27_2,5,170
0,0,2016_Sep_10_2,5,324
0,0,2016_Aug_29_3,5,202
0,0,2016_Sep_6_5,5,277
0,0,2016_Sep_2_6,5,245
0,0,2016_Aug_29_8,5,207
0,0,2016_Aug_25_4,5,155
0,0,2016_Aug_22_18,5,108
0,0,2016_Sep_10_0,5,322
0,0,2016_Sep_8_0,5,296
0,0,2016_Aug_25_6,5,157
0,0,2016_Sep_7_9,5,295
0,0,2016_Sep_7_1,5,287
0,0,2016_Sep_19_18,5,373
0,0,2016_Aug_29_14,5,185
0,0,2016_Sep_3_4,5,253
0,0,2016_Aug_17_7,5,73
0,0,2016_Sep_1_0,5,227
0,0,2016_Sep_20_6,5,401
0,0,2016_Aug_17_5,5,71
0,0,2016_Aug_18_4,5,80
0,0,2016_Aug_28_4,5,179
0,0,2016_Sep_8_2,5,308
0,0,2016_Aug_12_3,5,6
0,1,2016_Aug_22_23,5,114
0,0,2016_Oct_22_0,6,293
0,0,2016_Nov_2_8,6,17
0,0,2016_Nov_14_6,6,105
0,0,2016_Oct_25_1,6,314
0,0,2016_Nov_9_0,6,71
0,1,2016_Oct_13_6,6,205
0,0,2016_Oct_7_3,6,149
0,0,2016_Nov_6_0,6,41
0,0,2016_Nov_14_10,6,94
0,0,2016_Oct_13_0,6,196
0,1,2016_Oct_8_4,6,160
0,0,2016_Nov_16_0,6,121
0,0,2016_Oct_21_14,6,283
0,0,2016_Oct_16_1,6,248
0,0,2016_Nov_3_11,6,20
0,0,2016_Nov_3_2,6,23
0,0,2016_Oct_22_1,6,294
0,0,2016_Nov_15_6,6,117
0,0,2016_Nov_2_1,6,10
0,0,2016_Nov_4_1,6,32
0,0,2016_Nov_9_8,6,79
0,0,2016_Oct_11_16,6,173
0,0,2016_Oct_24_10,6,301
0,1,2016_Oct_11_11,6,168
0,0,2016_Oct_18_11,6,251
0,0,2016_Oct_31_10,6,348
0,0,2016_Oct_27_6,6,333
0,0,2016_Oct_31_11,6,349
0,0,2016_Nov_10_1,6,82
0,0,2016_Oct_18_5,6,261
0,0,2016_Oct_13_2,6,201
0,0,2016_Oct_15_1,6,238
0,1,2016_Oct_13_3,6,202
0,0,2016_Nov_7_1,6,52
0,0,2016_Oct_13_12,6,199
0,0,2016_Oct_21_0,6,278
0,0,2016_Nov_3_10,6,19
0,0,2016_Oct_15_9,6,246
0,0,2016_Nov_15_2,6,113
0,0,2016_Oct_24_5,6,308
0,0,2016_Nov_1_5,6,5
0,0,2016_Oct_11_21,6,179
0,0,2016_Nov_16_14,6,126
0,0,2016_Nov_16_5,6,131
0,0,2016_Nov_5_1,6,37
0,0,2016_Nov_16_11,6,123
0,0,2016_Oct_10_0,6,163
0,0,2016_Oct_18_4,6,260
0,0,2016_Oct_7_5,6,151
1,1,2016_Nov_8_2,6,63
0,1,2016_Nov_16_2,6,128
0,0,2016_Oct_12_4,6,193
0,0,2016_Nov_5_3,6,39
0,0,2016_Oct_24_12,6,303
0,0,2016_Oct_11_13,6,170
0,1,2016_Oct_28_2,6,338
0,0,2016_Oct_19_2,6,268
1,1,2016_Oct_24_8,6,311
0,0,2016_Oct_14_7,6,231
0,0,2016_Oct_24_7,6,310
0,0,2016_Nov_15_5,6,116
0,0,2016_Oct_19_3,6,269
0,0,2016_Oct_18_3,6,259
0,0,2016_Oct_18_0,6,249
0,0,2016_Nov_8_9,6,70
0,0,2016_Dec_17_1,7,104
0,0,2016_Dec_3_3,7,3
0,0,2016_Dec_7_7,7,36
0,0,2017_Jan_11_4,7,192
0,0,2016_Dec_18_2,7,107
0,1,2016_Dec_13_0,7,63
0,0,2016_Dec_6_9,7,24
0,0,2016_Dec_5_1,7,10
