real,RF,word2,season,No
0,1,2017_Jan_9_7,7,177
0,0,2017_Jan_9_5,7,176
0,0,2016_Dec_10_3,7,49
0,0,2016_Dec_21_3,7,124
0,0,2016_Dec_7_3,7,33
0,0,2016_Dec_24_0,7,130
0,1,2017_Jan_11_2,7,190
0,0,2017_Jan_10_7,7,186
0,0,2017_Jan_12_2,7,197
0,0,2016_Dec_21_1,7,122
0,0,2016_Dec_19_1,7,114
0,0,2016_Dec_12_4,7,59
0,0,2016_Dec_10_1,7,47
0,0,2017_Jan_4_10,7,151
0,0,2016_Dec_7_0,7,25
0,0,2016_Dec_21_7,7,128
0,0,2016_Dec_15_9,7,97
0,0,2016_Dec_27_3,7,138
0,0,2016_Dec_18_1,7,106
0,0,2016_Dec_25_1,7,132
0,0,2017_Jan_5_0,7,164
0,0,2016_Dec_13_10,7,64
0,0,2016_Dec_6_3,7,21
0,0,2016_Dec_18_6,7,111
0,0,2016_Dec_14_9,7,85
0,0,2017_Mar_7_4,8,255
0,0,2017_Feb_6_10,8,36
0,0,2017_Feb_23_3,8,153
0,0,2017_Feb_6_18,8,44
0,0,2017_Feb_9_9,8,84
0,0,2017_Jan_27_3,8,179
0,0,2017_Mar_4_0,8,218
0,0,2017_Feb_25_0,8,162
0,0,2017_Feb_10_6,8,91
0,0,2017_Feb_23_4,8,154
0,0,2017_Feb_24_0,8,155
0,1,2017_Mar_7_2,8,253
0,0,2017_Feb_9_16,8,74
0,0,2017_Feb_13_4,8,102
0,0,2017_Feb_28_4,8,175
0,0,2017_Mar_2_1,8,210
0,0,2017_Feb_7_3,8,58
0,0,2017_Feb_7_5,8,60
1,1,2017_Feb_3_11,8,14
0,0,2017_Jan_31_6,8,197
0,0,2017_Feb_4_2,8,29
0,0,2017_Mar_7_12,8,248
0,0,2017_Jan_31_3,8,194
0,0,2017_Mar_6_13,8,232
1,1,2017_Feb_2_3,8,5
0,0,2017_Feb_3_10,8,13
0,0,2017_Mar_7_3,8,254
0,0,2017_Mar_9_5,8,280
0,0,2017_Feb_7_1,8,56
0,0,2017_Mar_9_2,8,277
0,0,2017_Jan_30_0,8,186
0,0,2017_Mar_7_13,8,249
0,0,2017_Feb_22_8,8,149
0,0,2017_Feb_20_0,8,132
0,0,2017_Feb_28_1,8,172
0,0,2017_Feb_23_2,8,152
0,0,2017_Feb_3_3,8,20
0,0,2017_Mar_8_13,8,265
0,0,2017_Feb_2_7,8,9
0,0,2017_Feb_1_0,8,0
0,0,2017_Feb_10_0,8,85
0,0,2017_Feb_10_2,8,87
0,0,2017_Jan_31_7,8,198
0,0,2017_Feb_13_1,8,99
0,0,2017_Feb_3_12,8,15
0,0,2017_Feb_7_6,8,61
0,0,2017_Feb_9_10,8,68
0,0,2017_Apr_7_18,9,45
0,0,2017_Apr_20_2,9,150
0,0,2017_Apr_25_13,9,182
0,0,2017_Mar_28_13,9,248
0,0,2017_May_2_12,9,306
0,0,2017_May_1_11,9,289
0,0,2017_Apr_25_3,9,186
0,0,2017_May_3_5,9,322
0,0,2017_Apr_14_6,9,114
0,0,2017_Apr_10_13,9,70
0,0,2017_Apr_10_2,9,73
0,0,2017_Apr_10_3,9,74
0,0,2017_Apr_3_8,9,10
0,0,2017_Apr_14_7,9,115
0,0,2017_Apr_28_0,9,205
0,0,2017_Apr_7_6,9,58
0,0,2017_Mar_27_24,9,234
0,0,2017_Apr_8_1,9,63
0,0,2017_Apr_3_1,9,3
0,0,2017_May_4_0,9,323
0,0,2017_May_2_11,9,305
0,0,2017_Apr_18_6,9,138
0,0,2017_Apr_4_8,9,20
0,1,2017_Mar_28_7,9,262
0,0,2017_Apr_30_2,9,211
0,0,2017_Mar_27_6,9,240
0,0,2017_Apr_7_12,9,39
0,0,2017_Apr_14_5,9,113
0,2,2017_Apr_18_8,9,140
0,0,2017_Apr_10_1,9,72
0,0,2017_Apr_12_1,9,96
0,0,2017_Apr_19_1,9,143
0,0,2017_Apr_7_16,9,43
0,0,2017_Apr_5_4,9,26
0,0,2017_Apr_6_3,9,34
0,0,2017_Mar_31_4,9,281
0,0,2017_Mar_28_5,9,260
0,0,2017_Mar_27_22,9,232
1,0,2017_Apr_10_11,9,68
1,0,2017_Apr_10_6,9,77
1,0,2017_Apr_3_5,9,7
1,1,2017_Mar_27_2,9,236
1,0,2017_Apr_26_1,9,193
1,0,2017_Mar_27_25,9,235
1,0,2017_May_1_16,9,293
1,0,2017_Apr_23_1,9,161
1,0,2017_Apr_15_1,9,119
1,0,2017_May_4_5,9,337
1,0,2017_Apr_13_0,9,99
0,0,2017_Apr_19_0,9,142
1,1,2017_Apr_20_6,9,154
1,0,2017_Apr_13_6,9,105
1,0,2017_May_1_1,9,294
1,0,2017_Mar_29_0,9,265
1,0,2017_Apr_17_3,9,124
1,0,2017_Apr_3_9,9,11
0,0,2017_Jun_29_12,10,305
1,0,2017_May_24_0,10,358
0,0,2017_Jun_29_11,10,304
1,0,2017_May_19_6,10,327
1,0,2017_May_22_11,10,337
0,0,2017_Jun_22_9,10,239
1,0,2017_Jun_5_15,10,34
1,0,2017_Jun_27_15,10,279
1,0,2017_Jun_19_7,10,200
1,0,2017_Jun_24_4,10,254
1,2,2017_May_31_1,10,416
1,0,2017_Jun_29_15,10,308
1,0,2017_Jun_20_10,10,204
1,0,2017_Jun_26_10,10,261
1,1,2017_Jun_4_2,10,20
1,0,2017_May_27_0,10,390
1,0,2017_Jun_23_7,10,247
1,0,2017_Jun_17_1,10,174
1,0,2017_Jun_4_13,10,16
0,0,2017_Jun_27_18,10,282
1,0,2017_Jun_19_17,10,191
1,0,2017_Jun_6_2,10,57
1,1,2017_Jun_20_1,10,205
1,0,2017_May_24_6,10,366
1,0,2017_Jun_6_4,10,59
1,0,2017_May_22_1,10,343
0,0,2017_Jun_20_4,10,208
1,0,2017_Jun_11_2,10,102
1,0,2017_Jun_8_18,10,76
1,0,2017_Jun_21_8,10,224
0,0,2017_Jun_19_0,10,183
1,0,2017_Jun_4_14,10,17
1,0,2017_Jun_26_6,10,269
1,0,2017_Jun_22_7,10,237
0,0,2017_Jun_12_9,10,125
1,0,2017_May_29_3,10,400
1,0,2017_Jun_23_8,10,248
1,0,2017_Jun_9_5,10,95
1,0,2017_Jun_16_5,10,168
0,0,2017_Jun_5_14,10,33
1,1,2017_Jun_23_9,10,249
0,0,2017_Jun_12_4,10,120
1,0,2017_Jun_20_6,10,210
1,0,2017_Jun_29_13,10,306
1,0,2017_Jun_9_7,10,97
1,0,2017_May_28_1,10,393
1,0,2017_May_23_0,10,352
0,0,2017_Jun_19_1,10,194
0,0,2017_Jun_5_0,10,28
1,0,2017_Jun_29_16,10,309
0,0,2017_Jun_21_6,10,222
0,0,2017_Jun_15_5,10,157
1,0,2017_Jun_6_0,10,55
1,0,2017_Jun_23_4,10,244
0,0,2017_Jun_6_8,10,63
0,0,2017_Jun_24_3,10,253
1,0,2017_Jun_12_13,10,111
1,0,2017_Jun_29_10,10,303
1,1,2017_Jun_11_1,10,101
0,0,2017_Jun_20_3,10,207
1,0,2017_May_30_12,10,404
1,0,2017_Jun_8_2,10,78
1,0,2017_Jun_26_7,10,270
0,0,2017_Jun_17_3,10,176
1,1,2017_May_30_9,10,413
1,0,2017_Aug_14_2,11,113
1,0,2017_Aug_8_2,11,64
1,0,2017_Jul_19_2,11,230
1,1,2017_Jul_17_13,11,212
1,0,2017_Jul_23_1,11,245
1,1,2017_Aug_17_4,11,144
1,1,2017_Aug_16_8,11,138
1,0,2017_Jul_25_5,11,267
1,0,2017_Jul_28_6,11,291
1,1,2017_Aug_23_1,11,187
1,0,2017_Aug_15_6,11,127
1,0,2017_Aug_14_5,11,116
1,1,2017_Jul_24_11,11,249
1,0,2017_Aug_7_10,11,41
1,0,2017_Aug_22_10,11,173
1,1,2017_Aug_14_4,11,115
1,0,2017_Aug_23_4,11,190
1,0,2017_Aug_17_1,11,141
1,0,2017_Jul_22_0,11,242
1,0,2017_Aug_10_9,11,93
1,0,2017_Aug_8_0,11,62
1,0,2017_Aug_16_9,11,139
1,0,2017_Aug_10_3,11,87
1,0,2017_Aug_2_0,11,10
1,0,2017_Aug_3_1,11,25
1,0,2017_Jul_14_0,11,195
1,0,2017_Aug_22_8,11,184
1,0,2017_Aug_7_1,11,51
0,0,2017_Jul_17_1,11,215
0,0,2017_Jul_24_7,11,259
1,0,2017_Aug_2_6,11,18
1,0,2017_Jul_23_0,11,244
1,0,2017_Jul_24_15,11,253
1,0,2017_Jul_29_4,11,296
1,0,2017_Aug_22_0,11,172
1,0,2017_Jul_14_3,11,198
1,0,2017_Aug_15_8,11,129
1,0,2017_Aug_22_4,11,180
1,0,2017_Aug_3_8,11,32
1,0,2017_Aug_13_1,11,107
1,0,2017_Aug_21_13,11,162
1,0,2017_Jul_27_1,11,281
1,0,2017_Aug_9_11,11,67
1,0,2017_Jul_17_7,11,221
1,0,2017_Aug_16_4,11,134
1,0,2017_Jul_26_4,11,274
1,0,2017_Aug_7_14,11,45
1,0,2017_Jul_25_3,11,265
1,0,2017_Jul_31_17,11,308
1,0,2017_Jul_20_3,11,238
1,0,2017_Aug_7_18,11,49
1,0,2017_Aug_21_4,11,166
1,0,2017_Jul_17_6,11,220
1,0,2017_Jul_27_0,11,280
1,0,2017_Oct_6_7,12,89
1,0,2017_Sep_30_15,12,469
1,0,2017_Sep_12_14,12,256
0,0,2017_Oct_9_11,12,100
1,0,2017_Sep_23_2,12,369
1,0,2017_Sep_27_6,12,432
1,0,2017_Oct_18_6,12,191
1,0,2017_Oct_17_6,12,177
1,0,2017_Sep_11_17,12,231
1,0,2017_Sep_12_4,12,260
1,0,2017_Sep_8_4,12,209
1,0,2017_Sep_21_2,12,346
1,0,2017_Oct_8_1,12,96
0,0,2017_Oct_2_7,12,26
1,0,2017_Sep_9_6,12,220
1,0,2017_Sep_25_12,12,389
1,0,2017_Sep_29_7,12,460
1,0,2017_Sep_18_18,12,301
1,1,2017_Sep_26_8,12,422
1,1,2017_Oct_5_10,12,56
1,0,2017_Oct_10_5,12,122
1,0,2017_Sep_29_6,12,459
1,0,2017_Sep_21_1,12,345
1,0,2017_Sep_21_0,12,343
1,0,2017_Sep_18_0,12,292
1,0,2017_Sep_14_0,12,273
0,0,2017_Oct_2_17,12,12
1,0,2017_Oct_9_5,12,105
1,0,2017_Sep_25_20,12,398
1,0,2017_Oct_9_6,12,106
1,2,2017_Oct_5_5,12,65
0,0,2017_Oct_6_19,12,80
1,0,2017_Sep_30_5,12,474
0,0,2017_Oct_2_18,12,13
1,0,2017_Oct_6_12,12,73
1,0,2017_Sep_28_6,12,442
1,0,2017_Sep_27_1,12,427
0,0,2017_Sep_24_12,12,376
1,0,2017_Sep_19_10,12,319
1,0,2017_Oct_16_2,12,162
1,0,2017_Oct_6_10,12,71
1,0,2017_Sep_29_13,12,450
1,0,2017_Sep_21_5,12,349
1,0,2017_Sep_12_12,12,255
1,0,2017_Sep_8_1,12,206
1,0,2017_Sep_12_7,12,263
2,0,2017_Sep_9_3,12,217
2,0,2017_Sep_18_7,12,315
2,0,2017_Sep_18_25,12,309
2,2,2017_Sep_28_1,12,437
2,0,2017_Sep_26_11,12,409
2,0,2017_Sep_9_5,12,219
2,2,2017_Oct_19_3,12,198
2,2,2017_Sep_30_7,12,476
2,2,2017_Sep_11_1,12,234
2,2,2017_Sep_11_14,12,228
2,2,2017_Sep_15_1,12,281
2,0,2017_Sep_13_1,12,267
2,2,2017_Oct_5_6,12,66
0,0,2017_Sep_11_27,12,242
2,0,2017_Sep_12_8,12,264
2,0,2017_Oct_16_0,12,148
2,0,2017_Sep_25_18,12,395
2,0,2017_Sep_18_1,12,303
2,1,2017_Sep_28_7,12,443
0,0,2017_Oct_6_4,12,86
2,0,2017_Oct_17_0,12,170
2,0,2017_Sep_29_15,12,452
2,2,2017_Oct_16_6,12,166
2,2,2017_Sep_18_17,12,300
0,0,2017_Sep_11_26,12,241
0,0,2017_Oct_4_8,12,53
2,0,2017_Oct_3_6,12,39
2,2,2017_Sep_18_6,12,314
2,0,2017_Oct_18_2,12,187
0,0,2017_Oct_16_14,12,153
2,2,2017_Oct_6_20,12,82
2,2,2017_Oct_14_0,12,135
2,0,2017_Sep_11_22,12,237
2,0,2017_Oct_18_9,12,194
2,0,2017_Oct_15_2,12,146
2,2,2017_Oct_6_21,12,83
2,2,2017_Sep_15_3,12,283
2,0,2017_Oct_6_5,12,87
0,0,2017_Sep_11_11,12,225
2,0,2017_Oct_5_13,12,59
2,2,2017_Sep_26_12,12,410
2,2,2017_Oct_2_11,12,6
2,0,2017_Dec_7_3,13,39
2,0,2017_Nov_14_8,13,201
0,0,2017_Dec_6_12,13,25
2,2,2017_Nov_3_1,13,101
2,0,2017_Nov_13_3,13,176
2,2,2017_Nov_27_2,13,272
2,2,2017_Nov_15_10,13,204
2,0,2017_Nov_8_6,13,150
0,0,2017_Dec_11_8,13,69
2,2,2017_Nov_8_8,13,152
2,0,2017_Nov_3_8,13,108
2,0,2017_Nov_5_1,13,120
2,0,2017_Nov_4_8,13,118
2,0,2017_Nov_25_1,13,262
2,2,2017_Nov_5_2,13,121
2,2,2017_Nov_16_5,13,222
2,0,2017_Dec_8_0,13,44
2,0,2017_Nov_14_1,13,194
0,0,2017_Nov_14_11,13,185
0,0,2017_Dec_6_13,13,26
2,1,2017_Nov_13_14,13,166
2,2,2017_Nov_16_6,13,223
2,0,2017_Nov_7_6,13,140
2,0,2017_Nov_8_0,13,144
2,2,2017_Dec_4_0,13,12
2,2,2017_Dec_6_8,13,34
2,0,2017_Dec_14_0,13,89
2,2,2017_Dec_6_7,13,33
2,2,2017_Nov_9_2,13,154
2,2,2017_Dec_4_2,13,14
2,0,2017_Nov_17_8,13,235
2,2,2017_Dec_7_7,13,43
0,0,2017_Dec_6_9,13,35
2,1,2017_Nov_7_8,13,142
2,0,2017_Nov_19_5,13,241
2,1,2017_Nov_27_5,13,275
2,0,2017_Nov_14_13,13,187
2,2,2017_Nov_7_11,13,133
2,2,2017_Dec_11_1,13,62
2,2,2017_Dec_4_1,13,13
2,0,2017_Dec_13_8,13,88
2,0,2017_Dec_11_15,13,59
2,0,2017_Dec_7_0,13,36
2,0,2017_Nov_4_5,13,115
2,2,2017_Dec_4_4,13,16
2,2,2017_Dec_2_3,13,3
2,0,2017_Nov_7_7,13,141
0,0,2017_Nov_3_4,13,104
